prism_id,last_name,first_name,middle_name,birth_year,birth_month,birth_day,bbref_id,espn_id,fangraphs_id,mlbam_id,nfbc_id,sfbb_id,yahoo_id
n75dpdhndw,Hart,Kyle,,1992,11,23,hartky01,,19646,606996,10759,hartky01,11684
n7n57gvnkm,Smith,Pavin,,1996,2,6,smithpa04,,19892,656976,10309,smithpa04,10842
n8c3smnrh0,Pfaadt,Brandon,,1998,10,15,pfaadbr01,,27782,694297,11586,pfaadbr01,60056
nanqnmcn7g,Santos,Gregory,,1999,8,28,santogr01,,21894,666619,11166,santogr01,11537
nayy6ycrs0,Buehler,Walker,,1994,7,28,buehlwa01,,19374,621111,9764,buehlwa01,10509
nb2ywrpvsw,Kiner-Falefa,Isiah,,1995,3,23,kineris01,,16512,643396,9863,kineris01,10992
nb9m76pk3m,Paredes,Isaac,,1999,2,18,paredis01,,20036,670623,10218,paredis01,10881
nbddmqkhww,Freeman,Freddie,,1989,9,12,freemfr01,,5361,518692,7793,freemfr01,8658
nc0d97k7fc,Brennan,Will,,1998,2,2,brennwi02,,25660,686823,11578,brennwi02,12703
njqfwnp0wr,Estevez,Carlos,,1992,12,28,estevca01,,14542,608032,9294,estevca01,10274
njx2dhrdqg,Lugo,Seth,,1989,11,17,lugose01,,12447,607625,9312,lugose01,10326
nmmmvsb8m4,Dreyer,Jack,,,,,dreyeja01,,30249,676263,12296,,62262
nmxxa4scpc,Spence,Mitch,,1998,5,6,spencmi01,,27707,687765,12002,spencmi01,61384
nned21h10g,Thomas,Alek,,2000,4,28,thomaal01,,23792,677950,10126,thomaal01,11267
nqg6hgwzxw,Grisham,Trent,,1996,11,1,grishtr01,,18564,663757,10658,grishtr01,10522
nt7wqbw50r,Lowe,Josh,,1998,2,2,lowejo01,,19953,666139,10254,lowejo01,10601
nvzxhzagkr,Campusano,Luis,,1998,9,29,campulu01,,22217,669134,11043,campulu01,11527
nw61kv5gc4,Blackburn,Paul,,1993,12,4,blackpa01,,14739,621112,9578,blackpa01,10756
nxk2zcyx50,Ramirez,Agustin,,2001,9,10,ramirag01,,26546,682663,11985,ramirag01,61818
nz21fwvw3w,Hinds,Rece,,2000,9,5,hindsre01,,27493,677956,11113,hindsre01,11748
p0v5xc8qcr,Gurriel,Lourdes,,1993,10,19,gurrilo01,,19238,666971,9475,gourrlo01,10616
